Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Distance
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,2601
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,2203
IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,5894,2203
SpiceJet,21/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,15:05,20:20,5h 15m,1 stop,No info,4649,1654
Air India,18/05/2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,6245,1547
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,13:15,6h 15m,1 stop,No info,19225,1974
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,No info,14924,2203
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,18:10,11h 5m,1 stop,No info,9646,2085
Air India,15/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,06:45,15:15,8h 30m,1 stop,No info,8714,1974
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,2203
Air Asia,6/05/2019,Banglore,Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,3383,1710
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,21:00,12h,1 stop,No info,13062,2203
SpiceJet,24/03/2019,Banglore,New Delhi,BLR ? DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3527,1710
IndiGo,27/05/2019,Banglore,Delhi,BLR ? DEL,04:00,06:50,2h 50m,non-stop,No info,3943,1710
Air India,3/05/2019,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,4667,1386
Air India,15/05/2019,Kolkata,Banglore,CCU ? HYD ? BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117,1663
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,2266
Jet Airways,9/03/2019,Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,2049
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121,3023
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No info,4377,1710
IndiGo,18/06/2019,Banglore,Delhi,BLR ? DEL,21:15,00:15 19 Jun,3h,non-stop,No info,3943,1710
Air Asia,3/04/2019,Banglore,Delhi,BLR ? DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No info,4483,1710
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231,2501
Air India,01/03/2019,Banglore,New Delhi,BLR ? BOM ? AMD ? DEL,08:50,23:55,15h 5m,2 stops,No info,17345,2037
Vistara,6/03/2019,Chennai,Kolkata,MAA ? CCU,07:05,09:20,2h 15m,non-stop,No info,7414,1386
Multiple carriers,6/05/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073,2203
Vistara,6/03/2019,Mumbai,Hyderabad,BOM ? DEL ? HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395,2407
Air India,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,21:50,12h 25m,1 stop,No info,8366,2501
Air India,3/04/2019,Delhi,Cochin,DEL ? MAA ? COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117,2279
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:00,10h 15m,1 stop,No info,12524,2203
IndiGo,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191,2203
Vistara,24/05/2019,Chennai,Kolkata,MAA ? CCU,07:05,09:20,2h 15m,non-stop,No info,3687,1386
IndiGo,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,5894,2203
Vistara,24/04/2019,Banglore,Delhi,BLR ? DEL,09:45,12:35,2h 50m,non-stop,No info,5403,1710
Air India,6/05/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,3625,624
Air India,21/05/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,10861,2310
IndiGo,12/03/2019,Chennai,Kolkata,MAA ? CCU,13:20,15:35,2h 15m,non-stop,No info,6297,1386
Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,1h 25m,non-stop,No info,5678,624
Jet Airways,09/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134,1974
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791,2203
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819,2266
IndiGo,21/03/2019,Delhi,Cochin,DEL ? BLR ? COK,05:05,10:05,5h,1 stop,No info,6893,2078
Vistara,09/03/2019,Banglore,New Delhi,BLR ? DEL,09:50,12:35,2h 45m,non-stop,No info,7240,1710
GoAir,3/04/2019,Banglore,Delhi,BLR ? DEL,11:40,14:30,2h 50m,non-stop,No info,3898,1710
IndiGo,3/04/2019,Mumbai,Hyderabad,BOM ? HYD,06:25,07:55,1h 30m,non-stop,No info,4049,624
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262,2203
SpiceJet,21/03/2019,Chennai,Kolkata,MAA ? CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332,1386
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,10844,2501
Jet Airways,24/03/2019,Banglore,New Delhi,BLR ? DEL,19:55,22:35,2h 40m,non-stop,No info,7229,1710
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,04:40 07 May,22h 10m,1 stop,No info,13941,2501
IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,21:00,9h 35m,1 stop,No info,5894,2203
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,10197,2203
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712,1974
IndiGo,24/06/2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,5636,2279
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014,2208
Jet Airways,1/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,7064,2501
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,14:25 25 May,18h,1 stop,In-flight meal not included,10703,3023
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info,9646,2085
Multiple carriers,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,13:20,11h 5m,1 stop,No info,17057,2203
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,16:55,10:25 13 Mar,17h 30m,1 stop,No info,13817,1974
Air India,6/03/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,13748,2310
Air India,21/04/2019,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,4880,1547
IndiGo,21/06/2019,Chennai,Kolkata,MAA ? CCU,05:15,07:40,2h 25m,non-stop,No info,3540,1386
SpiceJet,15/05/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257,1710
Jet Airways,3/06/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478,1710
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,1h 25m,non-stop,No info,8040,624
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,12:35 13 Jun,16h 35m,2 stops,No info,14300,2895
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,12h 20m,1 stop,No info,14781,2501
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15 10 Jun,12h 15m,1 stop,No info,14939,2501
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262,2203
Air India,12/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,14:35,14:35 13 May,24h,1 stop,No info,6528,1654
Air India,1/05/2019,Banglore,Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,6121,1710
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029,2208
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,18:50,7h 10m,1 stop,No info,11421,2203
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,04:45,19:15,14h 30m,1 stop,No info,7574,2203
Air India,9/05/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596,2337
Jet Airways,24/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,19:00 25 May,19h 55m,2 stops,No info,15129,2266
Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,05:05 16 Mar,15h,1 stop,No info,13555,1974
IndiGo,12/04/2019,Banglore,Delhi,BLR ? DEL,18:55,21:50,2h 55m,non-stop,No info,5780,1710
Vistara,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,09:05 13 May,12h 45m,1 stop,No info,9397,3023
Jet Airways,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,04:25 07 Mar,10h 10m,1 stop,No info,17024,2203
GoAir,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,12:55,5h 55m,1 stop,No info,5281,2203
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,22:30,15h 25m,1 stop,No info,10348,2085
Air India,6/03/2019,Delhi,Cochin,DEL ? MAA ? COK,17:20,09:25 07 Mar,16h 5m,1 stop,No info,12677,2279
Multiple carriers,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,15:25,01:35 04 Mar,10h 10m,1 stop,No info,15147,2203
Vistara,12/06/2019,Banglore,Delhi,BLR ? DEL,07:00,09:40,2h 40m,non-stop,No info,4668,1710
Jet Airways,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,No info,15554,2203
SpiceJet,9/04/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No info,3971,1710
Air India,3/05/2019,Mumbai,Hyderabad,BOM ? HYD,15:00,16:25,1h 25m,non-stop,No info,3100,624
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663,2501
Air India,1/03/2019,Delhi,Cochin,DEL ? BOM ? COK,23:00,19:15 02 Mar,20h 15m,1 stop,No info,27430,2203
IndiGo,12/05/2019,Chennai,Kolkata,MAA ? CCU,05:15,07:40,2h 25m,non-stop,No info,3540,1386
Air India,21/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,11:10 22 May,23h 10m,2 stops,No info,10676,2579
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,08:15 13 Jun,18h 10m,1 stop,No info,13044,2501
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 07 May,16h,1 stop,No info,14388,2501
IndiGo,24/06/2019,Banglore,Delhi,BLR ? DEL,04:00,06:50,2h 50m,non-stop,No info,3943,1710
IndiGo,3/06/2019,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,non-stop,No info,3597,1386
Air India,21/03/2019,Banglore,New Delhi,BLR ? MAA ? DEL,11:50,19:50,8h,1 stop,No info,5932,2029
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,10262,2203
Vistara,12/05/2019,Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,non-stop,No info,6216,2049
IndiGo,15/06/2019,Kolkata,Banglore,CCU ? BLR,20:25,23:10,2h 45m,non-stop,No info,4804,1547
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,01:30 22 May,14h,1 stop,No info,14067,2203
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,19:00 19 May,23h 50m,2 stops,No info,15129,2266
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,06:45,04:25 07 Jun,21h 40m,2 stops,No info,13376,2601
Air India,27/06/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,19:15 28 Jun,21h 15m,2 stops,No info,10441,2994
Jet Airways,24/05/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030,1710
Jet Airways,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,18:50,10h 50m,1 stop,No info,17024,2203
Multiple carriers,9/04/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,01:30 10 Apr,8h,1 stop,No info,13017,2203
GoAir,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,23:30,07:45 07 Jun,8h 15m,1 stop,No info,6686,2501
IndiGo,15/06/2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,5636,2279
IndiGo,9/06/2019,Delhi,Cochin,DEL ? HYD ? COK,07:35,16:10,8h 35m,1 stop,No info,6442,2085
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,13:05,00:55 22 May,11h 50m,1 stop,No info,9486,2085
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,10844,2501
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,15318,2895
Air India,3/04/2019,Delhi,Cochin,DEL ? MAA ? COK,12:30,09:25 04 Apr,20h 55m,1 stop,No info,5117,2279
IndiGo,24/06/2019,Delhi,Cochin,DEL ? BLR ? COK,15:10,20:00,4h 50m,1 stop,No info,6147,2078
Multiple carriers,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,21:00,8h 10m,1 stop,No info,7005,2203
SpiceJet,3/04/2019,Kolkata,Banglore,CCU ? BLR,22:20,00:40 04 Apr,2h 20m,non-stop,No info,3873,1547
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,18:25,18:50 22 Mar,24h 25m,2 stops,In-flight meal not included,9270,2223
GoAir,27/06/2019,Banglore,Delhi,BLR ? DEL,11:40,14:30,2h 50m,non-stop,No info,3898,1710
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,12h 20m,1 stop,No info,14781,2501
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15 25 May,12h 15m,1 stop,In-flight meal not included,8586,2501
Air India,9/05/2019,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,07:55 10 May,23h 35m,2 stops,No info,10697,3104
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,12:35 28 Jun,16h 35m,2 stops,No info,14300,2895
IndiGo,03/03/2019,Banglore,New Delhi,BLR ? DEL,18:55,21:45,2h 50m,non-stop,No info,8855,1710
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,18:15 13 May,25h 45m,1 stop,In-flight meal not included,10844,2501
Jet Airways,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,04:25 07 Mar,26h 10m,1 stop,No info,17024,2203
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,14:25 02 May,28h 50m,1 stop,In-flight meal not included,9314,3023
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,00:40,03:25,2h 45m,non-stop,No info,4777,1710
Air India,9/06/2019,Kolkata,Banglore,CCU ? BBI ? BLR,12:00,13:15 10 Jun,25h 15m,1 stop,No info,7662,1548
IndiGo,9/05/2019,Delhi,Cochin,DEL ? HYD ? COK,06:50,16:10,9h 20m,1 stop,No info,6442,2085
SpiceJet,12/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,5264,2132
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,04:25 28 May,15h 25m,1 stop,In-flight meal not included,12898,2203
Air India,3/03/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,6092,624
SpiceJet,21/05/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No info,3311,1710
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,04:25 28 Mar,9h 10m,1 stop,In-flight meal not included,6540,2203
IndiGo,27/05/2019,Banglore,Delhi,BLR ? DEL,01:30,04:15,2h 45m,non-stop,No info,3419,1710
Jet Airways,3/04/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,12:35 04 Apr,22h 35m,1 stop,In-flight meal not included,5177,2203
Air India,18/04/2019,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,8246,2049
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,21:05,11h 30m,1 stop,No info,14676,3023
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,21:00,9h 30m,1 stop,No info,13587,2203
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20 07 May,12h 10m,1 stop,In-flight meal not included,9663,2501
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,10:05 13 Jun,17h 35m,1 stop,No info,13044,2501
IndiGo,3/04/2019,Delhi,Cochin,DEL ? BOM ? COK,20:25,01:30 04 Apr,5h 5m,1 stop,No info,5073,2203
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:50 22 May,25h 50m,1 stop,No info,9345,3023
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,10:05 07 May,20h,1 stop,In-flight meal not included,9663,2501
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,No info,14277,2203
Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,04:25 02 Jun,18h 25m,1 stop,In-flight meal not included,10262,2203
Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,No info,5678,624
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,01:30 16 May,9h 30m,1 stop,No info,13727,2203
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 07 May,16h,1 stop,In-flight meal not included,9663,2501
IndiGo,12/05/2019,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,non-stop,No info,3858,1386
SpiceJet,24/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,4812,2132
IndiGo,27/06/2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35 28 Jun,5h 45m,1 stop,No info,5775,2330
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,09:45 07 Jun,24h 10m,1 stop,In-flight meal not included,10539,3023
IndiGo,3/06/2019,Kolkata,Banglore,CCU ? BLR,15:30,18:05,2h 35m,non-stop,No info,4804,1547
Air Asia,12/06/2019,Banglore,Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,3383,1710
IndiGo,03/03/2019,Banglore,New Delhi,BLR ? HYD ? DEL,12:10,17:05,4h 55m,1 stop,No info,8738,1723
Air India,27/03/2019,Delhi,Cochin,DEL ? TRV ? COK,05:15,06:50 28 Mar,25h 35m,1 stop,No info,7165,2429
IndiGo,24/06/2019,Delhi,Cochin,DEL ? HYD ? COK,16:10,22:30,6h 20m,1 stop,No info,6412,2085
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,8016,1710
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,20:35,15:15 13 Mar,18h 40m,1 stop,In-flight meal not included,11087,1974
SpiceJet,27/06/2019,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543,1386
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,04:40 13 Jun,12h 10m,1 stop,No info,12471,2501
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,04:25 25 Jun,19h 25m,1 stop,In-flight meal not included,10262,2203
Air India,18/03/2019,Banglore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,non-stop,No info,4441,1710
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,15:30,8h 25m,1 stop,No info,12537,2203
GoAir,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,22:25,07:40 25 Mar,9h 15m,1 stop,No info,10091,2501
Air India,3/06/2019,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,6961,1710
IndiGo,24/04/2019,Delhi,Cochin,DEL ? COK,05:35,08:50,3h 15m,non-stop,No info,5013,2049
Air India,18/05/2019,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,6934,2049
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,06:40,19:00,12h 20m,1 stop,No info,10877,2203
